성별,생일,결혼 유무,종교 유무,직업 코드,소득,지역구,나이,직업,연령대
여성,1938,무응답,있음,942.0,80.0,광주/전남/전북/제주도,84,경비원 및 검표원,노년
남성,1946,결혼,있음,942.0,140.0,광주/전남/전북/제주도,76,경비원 및 검표원,노년
남성,1943,결혼,없음,942.0,152.3,광주/전남/전북/제주도,79,경비원 및 검표원,노년
여성,1958,결혼,있음,942.0,170.2,대구/경북,64,경비원 및 검표원,노년
남성,1942,무응답,없음,942.0,115.3,대구/경북,80,경비원 및 검표원,노년
남성,1945,결혼,있음,942.0,140.0,부산/경남/울산,77,경비원 및 검표원,노년
남성,1946,결혼,있음,942.0,171.6,부산/경남/울산,76,경비원 및 검표원,노년
남성,1952,결혼,있음,942.0,135.0,대구/경북,70,경비원 및 검표원,노년
남성,1947,결혼,있음,942.0,142.5,서울,75,경비원 및 검표원,노년
남성,1952,결혼,없음,942.0,145.4,대전/충남,70,경비원 및 검표원,노년
남성,1962,무응답,없음,942.0,125.0,부산/경남/울산,60,경비원 및 검표원,노년
남성,1944,결혼,없음,942.0,120.0,부산/경남/울산,78,경비원 및 검표원,노년
남성,1957,결혼,있음,942.0,150.0,부산/경남/울산,65,경비원 및 검표원,노년
남성,1947,결혼,있음,942.0,100.0,광주/전남/전북/제주도,75,경비원 및 검표원,노년
남성,1969,결혼,없음,942.0,191.0,광주/전남/전북/제주도,53,경비원 및 검표원,중년
남성,1941,결혼,없음,942.0,72.5,광주/전남/전북/제주도,81,경비원 및 검표원,노년
남성,1948,결혼,있음,942.0,138.3,수도권,74,경비원 및 검표원,노년
남성,1950,결혼,없음,942.0,153.7,수도권,72,경비원 및 검표원,노년
남성,1951,결혼,없음,942.0,126.6,광주/전남/전북/제주도,71,경비원 및 검표원,노년
남성,1942,결혼,없음,942.0,75.0,수도권,80,경비원 및 검표원,노년
남성,1941,결혼,있음,942.0,95.0,부산/경남/울산,81,경비원 및 검표원,노년
남성,1950,결혼,있음,942.0,120.0,수도권,72,경비원 및 검표원,노년
남성,1953,결혼,있음,942.0,95.0,수도권,69,경비원 및 검표원,노년
남성,1947,결혼,있음,942.0,60.0,부산/경남/울산,75,경비원 및 검표원,노년
남성,1947,결혼,있음,942.0,120.0,수도권,75,경비원 및 검표원,노년
남성,1943,결혼,있음,942.0,123.8,부산/경남/울산,79,경비원 및 검표원,노년
남성,1945,결혼,있음,942.0,93.0,수도권,77,경비원 및 검표원,노년
남성,1941,결혼,없음,942.0,70.0,대구/경북,81,경비원 및 검표원,노년
남성,1952,결혼,없음,942.0,150.0,대전/충남,70,경비원 및 검표원,노년
남성,1952,결혼,있음,942.0,150.0,대전/충남,70,경비원 및 검표원,노년
남성,1950,결혼,없음,942.0,153.0,대전/충남,72,경비원 및 검표원,노년
남성,1938,결혼,있음,942.0,71.7,수도권,84,경비원 및 검표원,노년
남성,1943,결혼,없음,942.0,90.0,수도권,79,경비원 및 검표원,노년
남성,1942,이혼,있음,762.0,200.0,서울,80,전기공,노년
남성,1965,결혼,없음,762.0,241.61901596892534,서울,57,전기공,중년
남성,1970,무응답,없음,762.0,241.61901596892534,광주/전남/전북/제주도,52,전기공,중년
남성,1960,결혼,있음,762.0,387.5,서울,62,전기공,노년
남성,1982,무응답,없음,762.0,416.7,부산/경남/울산,40,전기공,중년
남성,1972,무응답,있음,762.0,233.1,부산/경남/울산,50,전기공,중년
남성,1958,결혼,있음,762.0,150.4,대구/경북,64,전기공,노년
남성,1960,결혼,있음,762.0,415.0,대구/경북,62,전기공,노년
남성,1961,결혼,있음,762.0,291.5,수도권,61,전기공,노년
여성,1988,무응답,있음,762.0,191.0,부산/경남/울산,34,전기공,중년
남성,1955,결혼,없음,762.0,591.33,부산/경남/울산,67,전기공,노년
남성,1963,무응답,없음,762.0,183.3,수도권,59,전기공,중년
남성,1957,결혼,있음,762.0,210.0,수도권,65,전기공,노년
남성,1970,결혼,있음,762.0,195.8,수도권,52,전기공,중년
남성,1970,결혼,없음,762.0,391.0,수도권,52,전기공,중년
남성,1966,결혼,있음,762.0,241.61901596892534,수도권,56,전기공,중년
남성,1972,결혼,없음,762.0,275.16,대전/충남,50,전기공,중년
남성,1963,결혼,없음,762.0,175.0,수도권,59,전기공,중년
남성,1948,무응답,있음,762.0,241.61901596892534,수도권,74,전기공,노년
남성,1977,무응답,없음,762.0,300.0,수도권,45,전기공,중년
남성,1976,결혼,없음,762.0,489.8,강원/충북,46,전기공,중년
남성,1958,결혼,있음,762.0,241.61901596892534,대전/충남,64,전기공,노년
남성,1985,무응답,있음,762.0,253.0,대전/충남,37,전기공,중년
남성,1978,결혼,있음,762.0,161.0,광주/전남/전북/제주도,44,전기공,중년
남성,1975,무응답,있음,762.0,210.0,수도권,47,전기공,중년
남성,1977,무응답,없음,762.0,241.61901596892534,광주/전남/전북/제주도,45,전기공,중년
남성,1972,이혼,없음,762.0,233.3,대구/경북,50,전기공,중년
남성,1962,결혼,있음,530.0,241.61901596892534,서울,60,방문 노점 및 통신 판매 관련 종사자,노년
남성,1964,무응답,없음,530.0,241.61901596892534,서울,58,방문 노점 및 통신 판매 관련 종사자,중년
남성,1982,무응답,있음,530.0,180.0,서울,40,방문 노점 및 통신 판매 관련 종사자,중년
남성,1960,결혼,없음,530.0,241.61901596892534,서울,62,방문 노점 및 통신 판매 관련 종사자,노년
여성,1965,결혼,없음,530.0,240.0,서울,57,방문 노점 및 통신 판매 관련 종사자,중년
남성,1957,이혼,없음,530.0,241.61901596892534,서울,65,방문 노점 및 통신 판매 관련 종사자,노년
남성,1988,무응답,있음,530.0,150.0,서울,34,방문 노점 및 통신 판매 관련 종사자,중년
여성,1944,결혼,있음,530.0,241.61901596892534,서울,78,방문 노점 및 통신 판매 관련 종사자,노년
남성,1945,결혼,없음,530.0,241.61901596892534,서울,77,방문 노점 및 통신 판매 관련 종사자,노년
여성,1976,무응답,있음,530.0,175.0,서울,46,방문 노점 및 통신 판매 관련 종사자,중년
여성,1974,결혼,있음,530.0,66.6,서울,48,방문 노점 및 통신 판매 관련 종사자,중년
여성,1942,결혼,없음,530.0,241.61901596892534,서울,80,방문 노점 및 통신 판매 관련 종사자,노년
남성,1981,결혼,없음,530.0,200.0,서울,41,방문 노점 및 통신 판매 관련 종사자,중년
남성,1980,무응답,있음,530.0,150.0,서울,42,방문 노점 및 통신 판매 관련 종사자,중년
여성,1972,결혼,없음,530.0,113.9,서울,50,방문 노점 및 통신 판매 관련 종사자,중년
여성,1964,결혼,있음,530.0,100.0,서울,58,방문 노점 및 통신 판매 관련 종사자,중년
여성,1947,이혼,없음,530.0,241.61901596892534,서울,75,방문 노점 및 통신 판매 관련 종사자,노년
남성,1950,결혼,있음,530.0,241.61901596892534,서울,72,방문 노점 및 통신 판매 관련 종사자,노년
남성,1980,무응답,없음,530.0,213.0,서울,42,방문 노점 및 통신 판매 관련 종사자,중년
남성,1940,결혼,있음,530.0,241.61901596892534,부산/경남/울산,82,방문 노점 및 통신 판매 관련 종사자,노년
여성,1944,결혼,있음,530.0,241.61901596892534,부산/경남/울산,78,방문 노점 및 통신 판매 관련 종사자,노년
여성,1983,결혼,없음,530.0,241.61901596892534,부산/경남/울산,39,방문 노점 및 통신 판매 관련 종사자,중년
남성,1983,결혼,없음,530.0,241.61901596892534,부산/경남/울산,39,방문 노점 및 통신 판매 관련 종사자,중년
여성,1960,결혼,있음,530.0,180.0,부산/경남/울산,62,방문 노점 및 통신 판매 관련 종사자,노년
남성,1955,결혼,없음,530.0,241.61901596892534,부산/경남/울산,67,방문 노점 및 통신 판매 관련 종사자,노년
여성,1955,결혼,있음,530.0,241.61901596892534,부산/경남/울산,67,방문 노점 및 통신 판매 관련 종사자,노년
여성,1961,결혼,없음,530.0,100.0,부산/경남/울산,61,방문 노점 및 통신 판매 관련 종사자,노년
여성,1964,결혼,없음,530.0,241.61901596892534,부산/경남/울산,58,방문 노점 및 통신 판매 관련 종사자,중년
남성,1947,결혼,있음,530.0,241.61901596892534,대구/경북,75,방문 노점 및 통신 판매 관련 종사자,노년
여성,1954,결혼,있음,530.0,241.61901596892534,대구/경북,68,방문 노점 및 통신 판매 관련 종사자,노년
여성,1972,이혼,없음,530.0,120.0,대구/경북,50,방문 노점 및 통신 판매 관련 종사자,중년
여성,1981,결혼,없음,530.0,241.61901596892534,대구/경북,41,방문 노점 및 통신 판매 관련 종사자,중년
여성,1933,무응답,있음,530.0,241.61901596892534,대구/경북,89,방문 노점 및 통신 판매 관련 종사자,노년
여성,1968,결혼,있음,530.0,206.7,대구/경북,54,방문 노점 및 통신 판매 관련 종사자,중년
남성,1955,결혼,있음,530.0,241.61901596892534,대구/경북,67,방문 노점 및 통신 판매 관련 종사자,노년
여성,1960,결혼,있음,530.0,241.61901596892534,대구/경북,62,방문 노점 및 통신 판매 관련 종사자,노년
여성,1973,결혼,있음,530.0,183.0,수도권,49,방문 노점 및 통신 판매 관련 종사자,중년
여성,1970,결혼,없음,530.0,100.0,수도권,52,방문 노점 및 통신 판매 관련 종사자,중년
여성,1938,무응답,있음,530.0,241.61901596892534,수도권,84,방문 노점 및 통신 판매 관련 종사자,노년
남성,1967,결혼,없음,530.0,241.61901596892534,수도권,55,방문 노점 및 통신 판매 관련 종사자,중년
여성,1973,결혼,있음,530.0,160.0,수도권,49,방문 노점 및 통신 판매 관련 종사자,중년
남성,1979,결혼,없음,530.0,241.61901596892534,광주/전남/전북/제주도,43,방문 노점 및 통신 판매 관련 종사자,중년
여성,1967,이혼,없음,530.0,208.3,광주/전남/전북/제주도,55,방문 노점 및 통신 판매 관련 종사자,중년
남성,1962,결혼,없음,530.0,241.61901596892534,광주/전남/전북/제주도,60,방문 노점 및 통신 판매 관련 종사자,노년
여성,1970,결혼,있음,530.0,130.0,대전/충남,52,방문 노점 및 통신 판매 관련 종사자,중년
여성,1979,결혼,있음,530.0,125.0,대전/충남,43,방문 노점 및 통신 판매 관련 종사자,중년
남성,1973,결혼,없음,530.0,241.61901596892534,대전/충남,49,방문 노점 및 통신 판매 관련 종사자,중년
여성,1962,결혼,있음,530.0,241.61901596892534,수도권,60,방문 노점 및 통신 판매 관련 종사자,노년
남성,1962,결혼,없음,530.0,241.61901596892534,수도권,60,방문 노점 및 통신 판매 관련 종사자,노년
여성,1966,결혼,없음,530.0,200.0,수도권,56,방문 노점 및 통신 판매 관련 종사자,중년
여성,1966,결혼,있음,530.0,30.0,수도권,56,방문 노점 및 통신 판매 관련 종사자,중년
남성,1940,결혼,있음,530.0,241.61901596892534,수도권,82,방문 노점 및 통신 판매 관련 종사자,노년
여성,1968,결혼,없음,530.0,50.0,수도권,54,방문 노점 및 통신 판매 관련 종사자,중년
남성,1971,무응답,없음,530.0,241.61901596892534,수도권,51,방문 노점 및 통신 판매 관련 종사자,중년
남성,1982,결혼,없음,530.0,241.61901596892534,수도권,40,방문 노점 및 통신 판매 관련 종사자,중년
여성,1973,결혼,있음,530.0,291.6,수도권,49,방문 노점 및 통신 판매 관련 종사자,중년
여성,1968,무응답,없음,530.0,320.0,서울,54,방문 노점 및 통신 판매 관련 종사자,중년
여성,1962,무응답,있음,530.0,120.0,수도권,60,방문 노점 및 통신 판매 관련 종사자,노년
남성,1966,결혼,있음,530.0,833.3,강원/충북,56,방문 노점 및 통신 판매 관련 종사자,중년
여성,1966,결혼,있음,530.0,416.7,강원/충북,56,방문 노점 및 통신 판매 관련 종사자,중년
여성,1980,결혼,없음,530.0,241.61901596892534,강원/충북,42,방문 노점 및 통신 판매 관련 종사자,중년
여성,1981,결혼,없음,530.0,60.0,강원/충북,41,방문 노점 및 통신 판매 관련 종사자,중년
여성,1967,결혼,있음,530.0,67.5,강원/충북,55,방문 노점 및 통신 판매 관련 종사자,중년
남성,1968,결혼,없음,530.0,241.61901596892534,강원/충북,54,방문 노점 및 통신 판매 관련 종사자,중년
여성,1977,결혼,있음,530.0,121.0,강원/충북,45,방문 노점 및 통신 판매 관련 종사자,중년
여성,1972,결혼,있음,530.0,283.3,강원/충북,50,방문 노점 및 통신 판매 관련 종사자,중년
남성,1935,결혼,없음,530.0,241.61901596892534,강원/충북,87,방문 노점 및 통신 판매 관련 종사자,노년
여성,1937,결혼,있음,530.0,241.61901596892534,강원/충북,85,방문 노점 및 통신 판매 관련 종사자,노년
여성,1952,결혼,있음,530.0,241.61901596892534,강원/충북,70,방문 노점 및 통신 판매 관련 종사자,노년
여성,1974,무응답,없음,530.0,238.88,대전/충남,48,방문 노점 및 통신 판매 관련 종사자,중년
남성,1990,무응답,없음,530.0,260.0,광주/전남/전북/제주도,32,방문 노점 및 통신 판매 관련 종사자,중년
여성,1965,결혼,있음,530.0,300.0,대전/충남,57,방문 노점 및 통신 판매 관련 종사자,중년
여성,1937,무응답,있음,530.0,241.61901596892534,대전/충남,85,방문 노점 및 통신 판매 관련 종사자,노년
여성,1966,결혼,없음,530.0,147.33,대전/충남,56,방문 노점 및 통신 판매 관련 종사자,중년
남성,1964,결혼,있음,530.0,241.61901596892534,대전/충남,58,방문 노점 및 통신 판매 관련 종사자,중년
여성,1939,무응답,없음,530.0,241.61901596892534,대전/충남,83,방문 노점 및 통신 판매 관련 종사자,노년
여성,1940,결혼,없음,530.0,241.61901596892534,대전/충남,82,방문 노점 및 통신 판매 관련 종사자,노년
여성,1965,결혼,있음,530.0,241.61901596892534,광주/전남/전북/제주도,57,방문 노점 및 통신 판매 관련 종사자,중년
여성,1929,결혼,있음,530.0,20.0,광주/전남/전북/제주도,93,방문 노점 및 통신 판매 관련 종사자,노년
여성,1971,결혼,있음,530.0,241.61901596892534,부산/경남/울산,51,방문 노점 및 통신 판매 관련 종사자,중년
남성,1966,이혼,없음,530.0,241.61901596892534,부산/경남/울산,56,방문 노점 및 통신 판매 관련 종사자,중년
여성,1951,무응답,없음,530.0,241.61901596892534,부산/경남/울산,71,방문 노점 및 통신 판매 관련 종사자,노년
여성,1954,무응답,없음,530.0,241.61901596892534,부산/경남/울산,68,방문 노점 및 통신 판매 관련 종사자,노년
여성,1981,무응답,없음,530.0,241.61901596892534,부산/경남/울산,41,방문 노점 및 통신 판매 관련 종사자,중년
여성,1948,결혼,있음,530.0,241.61901596892534,부산/경남/울산,74,방문 노점 및 통신 판매 관련 종사자,노년
여성,1974,결혼,있음,530.0,172.9,수도권,48,방문 노점 및 통신 판매 관련 종사자,중년
여성,1947,결혼,없음,530.0,241.61901596892534,부산/경남/울산,75,방문 노점 및 통신 판매 관련 종사자,노년
남성,1967,결혼,없음,530.0,241.61901596892534,대구/경북,55,방문 노점 및 통신 판매 관련 종사자,중년
여성,1976,결혼,없음,530.0,241.61901596892534,대구/경북,46,방문 노점 및 통신 판매 관련 종사자,중년
여성,1982,무응답,있음,530.0,244.0,서울,40,방문 노점 및 통신 판매 관련 종사자,중년
여성,1963,이혼,있음,530.0,50.0,광주/전남/전북/제주도,59,방문 노점 및 통신 판매 관련 종사자,중년
남성,1957,결혼,있음,530.0,241.61901596892534,수도권,65,방문 노점 및 통신 판매 관련 종사자,노년
여성,1942,무응답,있음,530.0,241.61901596892534,부산/경남/울산,80,방문 노점 및 통신 판매 관련 종사자,노년
여성,1965,결혼,있음,530.0,1000.0,수도권,57,방문 노점 및 통신 판매 관련 종사자,중년
여성,1946,결혼,있음,530.0,241.61901596892534,수도권,76,방문 노점 및 통신 판매 관련 종사자,노년
남성,1982,결혼,있음,530.0,258.2,수도권,40,방문 노점 및 통신 판매 관련 종사자,중년
여성,1963,결혼,없음,530.0,91.7,대구/경북,59,방문 노점 및 통신 판매 관련 종사자,중년
여성,1941,무응답,없음,530.0,241.61901596892534,수도권,81,방문 노점 및 통신 판매 관련 종사자,노년
남성,1967,결혼,없음,530.0,241.61901596892534,강원/충북,55,방문 노점 및 통신 판매 관련 종사자,중년
여성,1975,이혼,없음,530.0,300.0,수도권,47,방문 노점 및 통신 판매 관련 종사자,중년
여성,1980,결혼,없음,530.0,69.1,대구/경북,42,방문 노점 및 통신 판매 관련 종사자,중년
남성,1957,결혼,없음,530.0,241.61901596892534,서울,65,방문 노점 및 통신 판매 관련 종사자,노년
여성,1968,결혼,있음,530.0,146.7,대구/경북,54,방문 노점 및 통신 판매 관련 종사자,중년
여성,1966,이혼,있음,530.0,137.0,부산/경남/울산,56,방문 노점 및 통신 판매 관련 종사자,중년
남성,1968,결혼,있음,530.0,241.61901596892534,대구/경북,54,방문 노점 및 통신 판매 관련 종사자,중년
여성,1992,무응답,있음,530.0,150.0,대전/충남,30,방문 노점 및 통신 판매 관련 종사자,중년
남성,1962,무응답,없음,999.0,40.0,서울,60,기타 서비스관련 단순 종사원,노년
여성,1957,무응답,없음,999.0,291.1,대전/충남,65,기타 서비스관련 단순 종사원,노년
남성,1991,무응답,있음,999.0,91.4,서울,31,기타 서비스관련 단순 종사원,중년
여성,1943,무응답,있음,999.0,20.0,서울,79,기타 서비스관련 단순 종사원,노년
남성,1965,결혼,있음,999.0,241.61901596892534,서울,57,기타 서비스관련 단순 종사원,중년
여성,1967,결혼,있음,999.0,241.61901596892534,서울,55,기타 서비스관련 단순 종사원,중년
남성,1960,결혼,없음,999.0,241.61901596892534,서울,62,기타 서비스관련 단순 종사원,노년
여성,1960,결혼,없음,999.0,241.61901596892534,서울,62,기타 서비스관련 단순 종사원,노년
여성,1966,결혼,있음,999.0,241.61901596892534,서울,56,기타 서비스관련 단순 종사원,중년
여성,1958,결혼,있음,999.0,139.58,서울,64,기타 서비스관련 단순 종사원,노년
여성,1951,결혼,있음,999.0,241.61901596892534,서울,71,기타 서비스관련 단순 종사원,노년
여성,1942,결혼,있음,999.0,120.0,서울,80,기타 서비스관련 단순 종사원,노년
남성,1995,무응답,없음,999.0,63.6,서울,27,기타 서비스관련 단순 종사원,청년
여성,1963,결혼,없음,999.0,241.61901596892534,서울,59,기타 서비스관련 단순 종사원,중년
남성,1950,결혼,없음,999.0,110.0,서울,72,기타 서비스관련 단순 종사원,노년
남성,1938,무응답,없음,999.0,20.0,서울,84,기타 서비스관련 단순 종사원,노년
남성,1994,무응답,없음,999.0,241.61901596892534,서울,28,기타 서비스관련 단순 종사원,청년
남성,1986,무응답,없음,999.0,155.5,서울,36,기타 서비스관련 단순 종사원,중년
여성,1951,이혼,없음,999.0,127.0,서울,71,기타 서비스관련 단순 종사원,노년
남성,1954,결혼,있음,999.0,100.0,서울,68,기타 서비스관련 단순 종사원,노년
여성,1947,결혼,있음,999.0,20.0,서울,75,기타 서비스관련 단순 종사원,노년
여성,1968,무응답,있음,999.0,82.5,부산/경남/울산,54,기타 서비스관련 단순 종사원,중년
남성,1979,무응답,있음,999.0,241.61901596892534,부산/경남/울산,43,기타 서비스관련 단순 종사원,중년
남성,1990,무응답,없음,999.0,123.0,부산/경남/울산,32,기타 서비스관련 단순 종사원,중년
여성,1944,결혼,있음,999.0,241.61901596892534,부산/경남/울산,78,기타 서비스관련 단순 종사원,노년
남성,1992,무응답,없음,999.0,94.0,부산/경남/울산,30,기타 서비스관련 단순 종사원,중년
여성,1973,결혼,없음,999.0,241.61901596892534,부산/경남/울산,49,기타 서비스관련 단순 종사원,중년
여성,1943,무응답,있음,999.0,20.0,부산/경남/울산,79,기타 서비스관련 단순 종사원,노년
여성,1982,결혼,없음,999.0,77.0,대구/경북,40,기타 서비스관련 단순 종사원,중년
남성,1938,결혼,있음,999.0,20.0,대구/경북,84,기타 서비스관련 단순 종사원,노년
여성,1969,결혼,없음,999.0,241.61901596892534,대구/경북,53,기타 서비스관련 단순 종사원,중년
남성,1968,결혼,없음,999.0,241.61901596892534,대구/경북,54,기타 서비스관련 단순 종사원,중년
남성,1967,무응답,없음,999.0,60.0,수도권,55,기타 서비스관련 단순 종사원,중년
남성,1942,결혼,있음,999.0,20.0,대구/경북,80,기타 서비스관련 단순 종사원,노년
남성,1984,무응답,없음,999.0,99.0,대구/경북,38,기타 서비스관련 단순 종사원,중년
여성,1993,무응답,없음,999.0,241.61901596892534,대구/경북,29,기타 서비스관련 단순 종사원,청년
남성,1953,결혼,없음,999.0,241.61901596892534,대구/경북,69,기타 서비스관련 단순 종사원,노년
여성,1959,결혼,있음,999.0,35.8,대구/경북,63,기타 서비스관련 단순 종사원,노년
남성,1976,결혼,없음,999.0,267.2,대구/경북,46,기타 서비스관련 단순 종사원,중년
여성,1968,이혼,없음,999.0,90.0,수도권,54,기타 서비스관련 단순 종사원,중년
여성,1968,결혼,없음,999.0,100.0,수도권,54,기타 서비스관련 단순 종사원,중년
여성,1957,결혼,없음,999.0,107.0,수도권,65,기타 서비스관련 단순 종사원,노년
여성,1964,결혼,없음,999.0,200.5,수도권,58,기타 서비스관련 단순 종사원,중년
남성,1991,무응답,없음,999.0,25.0,수도권,31,기타 서비스관련 단순 종사원,중년
여성,1942,무응답,있음,999.0,20.0,수도권,80,기타 서비스관련 단순 종사원,노년
남성,1971,결혼,있음,999.0,241.61901596892534,광주/전남/전북/제주도,51,기타 서비스관련 단순 종사원,중년
남성,1943,결혼,없음,999.0,241.61901596892534,광주/전남/전북/제주도,79,기타 서비스관련 단순 종사원,노년
여성,1962,이혼,있음,999.0,75.0,광주/전남/전북/제주도,60,기타 서비스관련 단순 종사원,노년
남성,1981,무응답,없음,999.0,120.0,광주/전남/전북/제주도,41,기타 서비스관련 단순 종사원,중년
남성,1990,무응답,없음,999.0,241.61901596892534,광주/전남/전북/제주도,32,기타 서비스관련 단순 종사원,중년
여성,1968,결혼,없음,999.0,150.0,대전/충남,54,기타 서비스관련 단순 종사원,중년
여성,1944,무응답,없음,999.0,20.0,대전/충남,78,기타 서비스관련 단순 종사원,노년
남성,1937,결혼,있음,999.0,20.0,대전/충남,85,기타 서비스관련 단순 종사원,노년
여성,1974,결혼,없음,999.0,85.0,대전/충남,48,기타 서비스관련 단순 종사원,중년
여성,1959,결혼,없음,999.0,46.0,부산/경남/울산,63,기타 서비스관련 단순 종사원,노년
남성,1986,무응답,없음,999.0,80.0,부산/경남/울산,36,기타 서비스관련 단순 종사원,중년
남성,1986,무응답,없음,999.0,80.0,부산/경남/울산,36,기타 서비스관련 단순 종사원,중년
